name,address
AMC Lynnhaven 18 & IMAX,"1001 Lynnhaven Mall Loop,       Virginia Beach,      VA      23452"
"Riverside IMAX, Virginia Air & Space Center","600 Settlers Landing Road,       Hampton,      VA      23669"
AMC Hampton Towne Center 24 & IMAX,"1 Town Center Way,       Hampton,      VA      23666"
AMC Danbury 16 & IMAX,"61 Eagle Road,       Danbury,      CT      06810"
"The Charlotte Observer IMAX Dome, Discovery Place","301 North Tryon Street,       Charlotte,      NC      28202"
AMC Northlake 14 & IMAX,"7325 Northlake Mall Drive,       Charlotte,      NC      28216"
Regal Stonecrest At Piper Glen Stadium 22 & IMAX,"7824 Rea Road - Stonecrest at Piper Glen Shopping Center,       Charlotte,      NC      28277"
AMC Concord Mills 24 & IMAX,"8421 Concord Mills Blvd.,       Concord,      NC      28027"
AMC Mayfair Mall 18 & IMAX,"2500 N. Mayfair Road,       Wauwatosa,      WI      53226"
AMC Regency 24 & IMAX,"9451 Regency Square Blvd.,       Jacksonville,      FL      32225"
AMC Orange Park 24 & IMAX,"1910 Wells Road,       Orange Park,      FL      32073"
World Golf Hall of Fame IMAX Theater,"21 World Golf Place; Adjacent to World Golf Hall of Fame,       St. Augustine,      FL      32092"
Malco Paradiso Cinema Grill & IMAX,"584 South Mendenhall,       Memphis,      TN      38117"
Regal Opry Mills Stadium 20 & IMAX,"570 Opry Mills Drive,       Nashville,      TN      37214"
Regal Streets Of Indian Lake Stadium 16 & IMAX,"300 Indian Lake Blvd.,       Hendersonville,      TN      37075"
AMC Thoroughbred 20 & IMAX,"633 Frazier Drive,       Franklin,      TN      37067"
"ATK IMAX, Clark Planetarium","110 South 400 West,       Salt Lake City,      UT      84101"
"Megaplex IMAX,Valley Fair Mall","3620 South 2400 West,       West Valley City,      UT      84119"
Megaplex 14 & IMAX at Legacy Crossing,"I-15 & Parrish Lane,       Centerville,      UT      84014"
"Megaplex 17 & IMAX, Jordan Commons","9400 South State Street,       Sandy,      UT      84070"
Megaplex 20 at the District & IMAX,"11400 South Bangerter Highway,       South Jordan,      UT      84095"
Regal Commonwealth 20 & IMAX,"5001 Commonwealth Center Parkway,       Midlothian,      VA      23112"
Regal Short Pump Stadium 14 & IMAX,"11650 West Broad Street,       Richmond,      VA      23233"
AMC Westbank Palace 16 & IMAX,"1151 Manhattan Blvd.,       Harvey,      LA      70058"
AMC DINE-IN Clearview Palace 12 & IMAX,"4486 Veterans Memorial Blvd.,       Metairie,      LA      70006"
AMC Elmwood Palace 20 & IMAX,"1200 Elmwood Park Blvd.,       Harahan,      LA      70123"
Grand 16 & IMAX,"1950 Gause Boulevard West,       Slidell,      LA      70460"
IMAX Theatre at Marbles,"201 East Hargett Street,       Raleigh,      NC      27601"
Regal Crossroads Stadium 20 & IMAX,"501 Caitboo Avenue,       Cary,      NC      27518"
AMC Southpoint 17 & IMAX,"8030 Renaissance Parkway,       Durham,      NC      27713"
AMC Stonybrook 20 & IMAX,"2745 South Hurstborne Parkway,       Louisville,      KY      40220"
Moore Warren IMAX,"1000 S Telephone Rd,       Oklahoma City,      OK      73160"
AMC Quail Springs Mall 24 & IMAX,"2501 West Memorial,       Oklahoma City,      OK      73134"
Connecticut Post 14 & IMAX,"1201 Boston Post Road - Westfield Shoppingtown CT Post,       Milford,      CT      06460"
AMC Plainville 20 & IMAX,"220 New Britian Avenue,       Plainville,      CT      06062"
Regal Transit Center Stadium 18 & IMAX,"6707 Transit Road,       Williamsville,      NY      14221"
Niagara Falls IMAX,"6170 Fallsview Blvd.,       Niagara Falls,      ON, Canada      L2G 7T8"
Buckland Hills 18 & IMAX,"99 Redstone Road,       Manchester,      CT      06045"
AMC Foothills 15 & IMAX,"7401 N. La Cholla Blvd.,       Tucson,      AZ      85741"
Premiere Cinema El Paso Bassett + IMAX,"6101 Gateway West,       El Paso,      TX      79925"
Cin̩polis Las Misiones Cd. Juarez & IMAX,"Teofile Borunda 8681 Int. Cine, Partido Iglesias,       Cuidad Juarez, Chihuahua,      Mexico      32618"
Regal Dole Cannery Stadium 18 & IMAX,"735 B Iwilei Road,       Honolulu,      HI      96817"
AMC Edinburg 18 & IMAX,"3003 S. Expressway 281,       Edinburg,      TX      78539"
AMC Classic Westroads 14 & IMAX,"10000 California Street,       Omaha,      NE      68114"
